,yyyyq,r,logDP,logDY,logEP,logDE,svar,b/m,ntis,tbl,lty,ltr,tms,dfy,dfr,lagINFL
492,19941,-0.0464307069705093,-3.5576501012139685,-3.6029978106845726,-2.9769977678188986,-0.5806523333950698,0.002341667,0.307483805,0.041905088,0.035,0.0725,-0.059148468,0.03749999999999999,0.006499999999999992,0.012214595000000002,0.004824259
493,19942,-0.00378162852546116,-3.5442566713944177,-3.547627309613262,-2.869588491200144,-0.6746681801942738,0.002921304,0.308417077,0.033995564,0.0414,0.0774,-0.03284623,0.036,0.0068000000000000005,0.009034672999999997,0.009602195
494,19943,0.03975643465605458,-3.5780918384121305,-3.537423816174467,-2.829115508015208,-0.7489763303969222,0.001689563,0.290904659,0.029003295,0.0462,0.08,-0.006618717,0.033800000000000004,0.006400000000000003,0.0070887649999999995,0.005434783
495,19944,-0.01000389038118402,-3.5516967566569098,-3.559158992199995,-2.7086382634537642,-0.8430584932031455,0.00269975,0.2915683,0.016594293,0.056,0.0799,0.020249244,0.023899999999999998,0.006400000000000003,-0.007808625,0.00945946
496,19951,0.0815740600392596,-3.638085575420416,-3.5516967566569098,-2.7332497225210277,-0.9048358528993884,0.001246097,0.313876542,0.014388598,0.0573,0.0755,0.06640024,0.0182,0.0058,-0.0011356210000000033,0.002008032
497,19952,0.07797327064155603,-3.707986958217972,-3.623687075568849,-2.7613986964742967,-0.9465882617436754,0.001965127,0.286429618,0.008274919,0.0547,0.067,0.112486668,0.012300000000000005,0.006000000000000005,-0.022236954000000003,0.011356045
498,19953,0.06337151802307547,-3.7623729254775635,-3.69209710800473,-2.8101250519881504,-0.952247873489413,0.001361411,0.272494998,0.006379353,0.0528,0.0663,0.024015582,0.013499999999999998,0.006099999999999994,0.002537860999999999,0.007265522
499,19954,0.04368982150817086,-3.7993346720581638,-3.7468041426429437,-2.897949959269636,-0.9013847127885276,0.001854517,0.255026383,0.015526517,0.0514,0.0603,0.083728932,0.008899999999999998,0.006699999999999998,-0.016797464000000012,0.004590164
500,19961,0.040730290355035545,-3.8235667651911283,-3.7766748756172137,-2.942488906581524,-0.8810778586096043,0.004393302,0.239299615,0.016891913,0.0496,0.0684,-0.069310586,0.018800000000000004,0.0068000000000000005,0.020825744999999993,0.001958225
501,19962,0.03131431528125881,-3.849847928441131,-3.8116555696390657,-2.955444247971818,-0.8944036804693132,0.002501933,0.236443725,0.027216174,0.0509,0.0703,-0.001953661,0.0194,0.006900000000000003,0.0033789230000000003,0.014332248
502,19963,0.01842670923805728,-3.847389917171492,-3.822822058551359,-2.9492664892527856,-0.8981234279187061,0.004162912,0.227297318,0.029580737,0.0509,0.0704,0.016523354,0.019500000000000003,0.006900000000000003,0.0032140649999999986,0.006422608
503,19964,0.06746412795330428,-3.906355589926097,-3.8314913311036936,-2.951035193004638,-0.9553203969214586,0.003019465,0.20734273,0.024125687,0.0491,0.0673,0.049348938,0.0182,0.006900000000000003,-0.005777807000000003,0.007019783
504,19971,0.0134278536957592,-3.917545942245285,-3.8956738674266167,-2.9346602355584834,-0.9828857066868015,0.004836335,0.214780202,0.021148543,0.0514,0.0723,-0.032417371,0.020900000000000002,0.0063,0.010309704,0.005069709
505,19972,0.14907496980878118,-4.067019483487831,-3.9107954202505226,-3.083210044025854,-0.9838094394619773,0.006987,0.184287615,0.010846707,0.0493,0.0688,0.055638573,0.019500000000000003,0.006099999999999994,-0.004915208999999997,0.008827238
506,19973,0.06049248504968025,-4.123587351568449,-4.055738456133024,-3.148841916752475,-0.9747454348159742,0.007101431,0.177967857,0.014634266,0.0495,0.0649,0.061429312,0.015399999999999997,0.005500000000000005,-0.010674270999999999,0.001875
507,19974,0.016883798671422756,-4.137092815433343,-4.112948263217503,-3.195884433061569,-0.941208382371774,0.014275306,0.178800884,0.015559471,0.0516,0.0602,0.068713726,0.008599999999999997,0.005600000000000008,-0.022541712000000005,0.005614473
508,19981,0.11917034020749966,-4.254759432029992,-4.127843600546437,-3.3273422859796256,-0.9274171460503663,0.004658976,0.181140396,0.016488861,0.0503,0.0602,0.01518764,0.009899999999999999,0.006000000000000005,0.0016521339999999978,0.000620347
509,19982,0.020715327529374505,-4.263906551627796,-4.235196274491243,-3.370573261508032,-0.8933332901197643,0.004670931,0.178060606,0.024010577,0.0498,0.0576,0.044122639,0.007800000000000001,0.006000000000000005,-0.010280111000000001,0.005579665
510,19983,-0.11585844120644755,-4.143135709666517,-4.251878861683258,-3.284670448351396,-0.8584652613151204,0.02153311,0.203248404,0.024082909,0.0461,0.0517,0.083485403,0.005600000000000001,0.006900000000000003,-0.038801010999999996,0.004932183
511,19984,0.182959384023556,-4.329440683453012,-4.139919676218616,-3.4842179248060394,-0.845222758646973,0.010395104,0.173611315,0.020057029,0.0439,0.0542,-0.015472063,0.010299999999999997,0.010100000000000005,0.02396655,0.003680982
512,19991,0.036232765306357675,-4.359314892167222,-4.313878550986284,-3.5120430866776893,-0.8472718054895327,0.010031351,0.172897171,0.020668122,0.0444,0.0592,-0.041296777,0.0148,0.00910000000000001,0.013197888000000001,0.001833741
513,19992,0.05552552902957694,-4.42433827787127,-4.359375687984488,-3.5104824144997897,-0.9138558633714801,0.008221521,0.154227447,0.018868581,0.0457,0.0627,-0.024110627,0.017000000000000008,0.00789999999999999,-0.011527809000000003,0.006711409
514,19993,-0.0752222003990242,-4.344860776589405,-4.412672637402817,-3.3734501767951914,-0.9714105997942136,0.00704597,0.163684498,0.020379679,0.0468,0.0646,-0.004668047,0.017800000000000003,0.00810000000000001,-3.156999999999986e-05,0.007272727
515,19994,0.13220597983818838,-4.477577782763453,-4.341800743601306,-3.4177709248506303,-1.0598068579128233,0.007379017,0.147167259,0.017888756,0.052,0.0682,-0.022679644,0.0162,0.006400000000000003,0.014745018999999998,0.01022864
516,20001,0.01378652037443231,-4.4931588523750365,-4.473392925816046,-3.381428512383017,-1.1117303399920193,0.014885082,0.149973562,0.01829139,0.0569,0.0618,0.088329651,0.004900000000000002,0.006900000000000003,-0.064229307,0.002382371
517,20002,-0.041684046426122695,-4.466838016020212,-4.496625060351523,-3.3327821553246055,-1.1340558606956064,0.015486928,0.156777962,0.007124213,0.0569,0.0622,0.011124841,0.005299999999999999,0.008099999999999996,-0.006833415,0.017231135
518,20003,-0.019782854837659077,-4.475927445490471,-4.488441833451369,-3.2865588382447224,-1.189368607245748,0.004704681,0.153789463,0.004468926,0.06,0.0612,0.025360271,0.0011999999999999997,0.007300000000000001,0.011026931,0.007009346
519,20004,-0.09405035216220023,-4.396214732140832,-4.480587457602359,-3.273576108869868,-1.122638623270964,0.014139872,0.151851504,-0.002261747,0.0577,0.0558,0.076740606,-0.001899999999999999,0.008099999999999996,-0.017987461000000003,0.007540603
520,20011,-0.1442126752137087,-4.285559929593664,-4.414699317490195,-3.240066951988588,-1.0454929776050763,0.014609023,0.133113551,-0.005213444,0.0442,0.0559,0.012064439,0.011699999999999995,0.008599999999999997,0.033949229,0.001727116
521,20012,0.04264758366223584,-4.357453946678575,-4.303691131611009,-3.5049964723523663,-0.8524574743262082,0.011470857,0.125209433,0.005040755,0.0349,0.059,-0.019451394,0.024099999999999996,0.00789999999999999,0.025183705,0.012643678
522,20013,-0.16966049903408267,-4.191928348979534,-4.354271460382291,-3.6046643309424833,-0.5872640180370503,0.012288728,0.148628588,0.008652734,0.0264,0.0542,0.067552254,0.0278,0.008599999999999997,-0.03128349400000001,0.010215664
523,20014,0.0955119353194898,-4.289641017873419,-4.191674187077035,-3.839447957505588,-0.4501930603678311,0.007237089,0.131217846,0.013464825,0.0169,0.0575,-0.021132636,0.040600000000000004,0.012800000000000006,0.03599437,0.001685393
524,20021,-0.003795781201420543,-4.289675359703147,-4.29027654379249,-3.8384418331394023,-0.4512335265637451,0.006766544,0.236833402,0.013759444,0.0179,0.0604,-0.019251299,0.0425,0.013000000000000012,0.019572337999999998,-0.00897364
525,20022,-0.14900982704616036,-4.1224897491626304,-4.270221820418093,-3.6113524338440746,-0.5111373153185561,0.010129335,0.266572502,0.02752277,0.017,0.0566,0.0620574,0.039599999999999996,0.013200000000000003,-0.017602242999999997,0.01188455
526,20023,-0.1896674053666121,-3.9435972312791616,-4.13756635862716,-3.3010140512739397,-0.6425831800052222,0.032118194,0.324555156,0.029299296,0.0163,0.048,0.123062937,0.031700000000000006,0.012499999999999997,-0.033222236,0.006152125
527,20024,0.0773578155994917,-4.002514281304905,-3.9263408183793467,-3.4622639528662376,-0.5402503284386678,0.018678249,0.295385896,0.025735981,0.0119,0.0484,0.007367745,0.0365,0.012399999999999994,0.017011892,0.006114508
528,20031,-0.03611350834934255,-3.9566012500092262,-3.9932257136866594,-3.331285316643828,-0.6253159333653983,0.013867812,0.286117701,0.024098595,0.0113,0.049,0.008154918,0.037700000000000004,0.010600000000000005,0.012172078999999999,-0.000552486
529,20032,0.14117182457928446,-4.099086369390221,-3.9602444662406024,-3.339527230353939,-0.7595591390362825,0.00729083,0.254488337,0.001261884,0.0092,0.0445,0.053525781,0.0353,0.012199999999999996,0.0022363850000000005,0.018242123
530,20033,0.023564494324261297,-4.095158170620028,-4.073375814538606,-3.250983129171457,-0.8441750414485711,0.004881161,0.246541783,0.007323401,0.0094,0.0523,-0.033174485,0.0429,0.010700000000000001,0.011918186999999997,-0.002714441
531,20034,0.11147443789128635,-4.158235764316678,-4.048109371189215,-3.1273434815794428,-1.0308922827372353,0.003220976,0.218739865,0.006946316,0.009,0.0515,-0.017453428,0.042499999999999996,0.009800000000000003,0.015936511,0.008165487
532,20041,0.015755951794513525,-4.134909089068663,-4.122139326646559,-3.0753695736171793,-1.059539515451484,0.003570794,0.281731466,0.012282038,0.0094,0.0474,0.056824134,0.038,0.007800000000000001,-0.007756645999999999,-0.004859611
533,20042,0.014883321920459675,-4.116251010338664,-4.103344190378332,-3.011493430974487,-1.104757579364177,0.002979323,0.279631603,0.014491427,0.0127,0.0532,-0.052269682,0.040499999999999994,0.0076999999999999985,0.0008896980000000013,0.016820402
534,20043,-0.02129777142396639,-4.063251594831171,-4.086538775672581,-2.9597633215243553,-1.103488273306816,0.00292563,0.289485302,0.009132256,0.0165,0.0488,0.065746128,0.0323,0.008100000000000003,0.0035728029999999994,0.012273212
535,20044,0.08462759944492028,-4.132525483451191,-4.048797256918652,-3.0300800678063418,-1.102445415644849,0.002815744,0.270619243,0.013001505,0.0219,0.0484,0.016430631,0.0265,0.0068000000000000005,0.005240419,0.001054296
536,20051,-0.024687833615110795,-4.066850129556806,-4.093041694905513,-2.9757650694477737,-1.0910850601090323,0.002515744,0.319856889,0.009097231,0.0274,0.0488,0.009494925,0.021400000000000002,0.006600000000000002,-0.006007536999999999,0.002106372
537,20052,0.00864092538800353,-4.04188099268636,-4.032824976125823,-2.935572391184396,-1.1063086015019636,0.003227428,0.326979057,0.00536566,0.0297,0.0429,0.08594521,0.0132,0.009000000000000001,-0.007789937999999996,0.015764582
538,20053,0.028689668835746876,-4.047098312956558,-4.016122421637329,-2.917050782327637,-1.1300475306289204,0.002006532,0.31789151,0.006716401,0.0342,0.0464,-0.030378724,0.012199999999999996,0.009000000000000001,-0.002238072000000004,0.006207967
539,20054,0.01432048992956798,-4.028717143725602,-4.012988750376629,-2.8834661768721572,-1.1452509668534454,0.002790883,0.313477957,0.003058886,0.0389,0.0461,0.014226663,0.007200000000000005,0.009500000000000008,-0.0026694170000000003,0.022107969
540,20061,0.032833251204402274,-4.040076156155596,-4.003471358500536,-2.8802060467566166,-1.1598701093989794,0.002169212,0.316009441,0.002151995,0.0451,0.0507,-0.042812503,0.005600000000000001,0.008800000000000002,0.005656872,-0.010060362
541,20062,-0.024828181931996172,-3.992613677199137,-4.011818721215423,-2.8362647591806898,-1.1563489180184474,0.004057787,0.31485029,-0.002195489,0.0479,0.0531,-0.014742967,0.005200000000000003,0.008899999999999998,-0.005807217999999999,0.015243902
542,20063,0.04434892136651097,-4.015277220726646,-3.9648837957513914,-2.833333125156399,-1.181944095570247,0.00243431,0.300593284,-0.009493486,0.0481,0.0484,0.068251725,0.00030000000000000165,0.009199999999999993,0.011813842000000005,0.015515516
543,20064,0.05199745022595046,-4.042989223647789,-3.9830980456913556,-2.8564885381941956,-1.1865006854535927,0.001400314,0.2816824,-0.015036779,0.0485,0.0491,0.004285388,0.0005999999999999964,0.009000000000000001,0.009254424,0.0
544,20071,-0.005397687010851928,-4.020574470715256,-4.018771119939832,-2.8383713954370484,-1.1822030752782071,0.003514865,0.269050014,-0.012486353,0.0494,0.0493,0.008125405,-0.00010000000000000286,0.009700000000000007,-0.008313554,-0.00542139
545,20072,0.04811771078457034,-4.050837513699606,-3.9944038845339307,-2.8737298176869617,-1.1771076960126448,0.002751156,0.24789561,-0.011064006,0.0461,0.0521,-0.020663803,0.005999999999999998,0.009100000000000004,0.0018745310000000022,0.017601586
